17941323,You're The One That I Want,John Travolta,
17941324,Summer Nights,John Travolta,
62712747,We Go Together,John Travolta,
18081487,Désenchantée,Mylène Farmer,
2795613,I Wanna Dance with Somebody (Single Version),Whitney Houston,
584816,Back for Good (Radio Mix),Take That,
3960621,I Will Always Love You,Whitney Houston,
17942274,Angel,Shaggy,
8164649,You Are Not Alone,Michael Jackson,
4225611,(I Could Never) Give You Up,Roxette,
1765338,Forever Young,Tiffany,
3667423,If You Leave Me Now (Remastered),Chicago,
17614447,Is This Love (20th Anniversary Remaster),Whitesnake,
18020320,Love Hurts,Nazareth,
17781181,Still Loving You,Scorpions,
15265844,Love Bites (Live),Def Leppard,
17604916,Don't Cry (Original) (Album Version),Guns N' Roses,
17633200,Every Day I Write The Book,Elvis Costello & The Attractions,
66140647,Don't Stop Me Now,Queen,
5404596,"You're My Heart, You're My Soul (Mix '84)",Modern Talking,
63041981,More Than a Feeling,Boston,
17603486,Marilyn & John,Vanessa Paradis,
65809327,"Everybody Needs Somebody to Love (From ""The Blues Brothers"")",The Blues Brothers,
3159326,Walking On Sunshine,Katrina & The Waves,
60847054,Live While We're Young,One Direction,
1069598,Down By the Sea (Album Version),Men at Work,
1079104,Baby Hold On,Eddie Money,
3144076,Turning Japanese,The Vapors,
675799,Self Control,Laura Branigan,
763328,California Girls,David Lee Roth,
3832788,Coconut Grove,David Lee Roth,
6635448,Just Like Paradise,David Lee Roth,
90176013,Promenade sur Mars,Offenbach,
90176007,Je chante comme un coyote,Offenbach,
90176021,Rock de v'lour,Offenbach,
77552653,Pour qu'on se garde,Marc Dupré,
120705040,It's Uncanny,Daryl Hall & John Oates,
120705042,She's Gone,Daryl Hall & John Oates,
120705044,Love You Like A Brother,Daryl Hall & John Oates,
120705046,When The Morning Comes,Daryl Hall & John Oates,
120705048,I'm Sorry,Daryl Hall & John Oates,
120705050,Las Vegas Turnaround (The Stewardess Song),Daryl Hall & John Oates,
120705052,Fall In Philadelphia,Daryl Hall & John Oates,
120705054,Goodnight And Goodmorning,Daryl Hall & John Oates,
120705056,You're Much Too Soon,Daryl Hall & John Oates,
120705058,Lilly (Are You Happy),Daryl Hall & John Oates,
120705060,Can't Stop The Music (He Played It Much Too Long),Daryl Hall & John Oates,
120705062,Past Times Behind,Daryl Hall & John Oates,
120705064,Is It A Star,Daryl Hall & John Oates,
120705066,Lady Rain,Daryl Hall & John Oates,
120705068,Had I Known You Better Then,Daryl Hall & John Oates,
120705070,Beanie G. And The Rose Tattoo,Daryl Hall & John Oates,
120705072,Better Watch Your Back,Daryl Hall & John Oates,
120705074,Everytime I Look At You,Daryl Hall & John Oates,
120705076,I'm Just A Kid (Don't Make Me Feel Like A Man),Daryl Hall & John Oates,
120705078,Waterwheel,Daryl Hall & John Oates,
77525951,Rendez-vous doux,Gerry Boulet,
77525957,Café Rimbaud,Gerry Boulet,
77525946,La femme d'or,Gerry Boulet,
77525945,Angela,Gerry Boulet,
121619614,Cherish,Kool & The Gang,
121619604,Fresh,Kool & The Gang,
116914022,Time,Pink Floyd,
116914028,Us and Them,Pink Floyd,
77325360,No Limit,2 Unlimited,
88003131,The Song Remains The Same,Led Zeppelin,
15684303,Five Long Years,Colin James,
3424991,Chicks 'N Cars (And The Third World War),Colin James,
17968737,Too Much Time On My Hands,Styx,
62605597,Rita,Too Many Cooks,
92720016,For Those About to Rock (We Salute You),AC/DC,
15684313,Voodoo Thing,Colin James,
15556979,Si j'étais un homme,Diane Tell,
77620358,La bête humaine,Dan Bigras,
17608032,Down,Jay Sean,
92598654,Pour le plaisir,Herbert Leonard,
18046857,Joanna (Single Version),Kool & The Gang,
17691578,Still Of The Night,Whitesnake,
18061189,Rhythm Of Love (Album Version),Scorpions,
77621792,Le bon gars,Richard Desjardins,
125513414,Work from Home,Fifth Harmony,
77497945,Sans cri ni haine,Marie-Mai,
